Date,Transaction Count
23-02-2018 00:00,2347918
24-02-2018 00:00,2248508
25-02-2018 00:00,2029186
26-02-2018 00:00,1922273
27-02-2018 00:00,2261902
28-02-2018 00:00,2484814
01-03-2018 00:00,3211828
02-03-2018 00:00,2407103
03-03-2018 00:00,2761985
04-03-2018 00:00,2155461
05-03-2018 00:00,1890713
06-03-2018 00:00,2096567
07-03-2018 00:00,2000341
08-03-2018 00:00,2089417
09-03-2018 00:00,2394438
10-03-2018 00:00,2837956
11-03-2018 00:00,1866955
12-03-2018 00:00,1869230
13-03-2018 00:00,1909554
14-03-2018 00:00,1941269
15-03-2018 00:00,2091803
16-03-2018 00:00,2773852
17-03-2018 00:00,2336267
18-03-2018 00:00,1981636
19-03-2018 00:00,1931311
20-03-2018 00:00,1913510
21-03-2018 00:00,1911176
22-03-2018 00:00,2259856
23-03-2018 00:00,2430910
24-03-2018 00:00,2391009
25-03-2018 00:00,2065385
26-03-2018 00:00,2112521
27-03-2018 00:00,2278689
28-03-2018 00:00,2433157
29-03-2018 00:00,2978504
30-03-2018 00:00,3042291
31-03-2018 00:00,3826983
01-04-2018 00:00,1763210
02-04-2018 00:00,2020354
03-04-2018 00:00,2001256
04-04-2018 00:00,2052554
05-04-2018 00:00,2024358
06-04-2018 00:00,2301001
07-04-2018 00:00,2154013
08-04-2018 00:00,1820249
09-04-2018 00:00,1835793
10-04-2018 00:00,1940598
11-04-2018 00:00,2057859
12-04-2018 00:00,1996503
13-04-2018 00:00,2203406
14-04-2018 00:00,2116310
15-04-2018 00:00,1782072
16-04-2018 00:00,1806937
17-04-2018 00:00,1852725
18-04-2018 00:00,1971777
19-04-2018 00:00,2247528
20-04-2018 00:00,2324455
21-04-2018 00:00,2338699
22-04-2018 00:00,1966158
23-04-2018 00:00,1889413
24-04-2018 00:00,2032358
25-04-2018 00:00,2095878
26-04-2018 00:00,2129268
27-04-2018 00:00,2323007
28-04-2018 00:00,2346103
29-04-2018 00:00,2031331
30-04-2018 00:00,2210877
01-05-2018 00:00,2499836
02-05-2018 00:00,2311642
03-05-2018 00:00,2228269
04-05-2018 00:00,2491629
05-05-2018 00:00,2461533
06-05-2018 00:00,2180928
07-05-2018 00:00,2237715
08-05-2018 00:00,2389290
09-05-2018 00:00,2766590
10-05-2018 00:00,2548424
11-05-2018 00:00,3005452
12-05-2018 00:00,3524873
13-05-2018 00:00,2701437
14-05-2018 00:00,1907993
15-05-2018 00:00,2050061
16-05-2018 00:00,2062328
17-05-2018 00:00,2369911
18-05-2018 00:00,2355684
19-05-2018 00:00,2351689
20-05-2018 00:00,1950792
21-05-2018 00:00,1990040
22-05-2018 00:00,2052803
23-05-2018 00:00,2466864
24-05-2018 00:00,2382903
25-05-2018 00:00,2503402
26-05-2018 00:00,2324182
27-05-2018 00:00,1918102
28-05-2018 00:00,1866277
29-05-2018 00:00,2018298
30-05-2018 00:00,2096651
31-05-2018 00:00,2258417
01-06-2018 00:00,2936939
02-06-2018 00:00,2401745
03-06-2018 00:00,1959644
04-06-2018 00:00,2033093
05-06-2018 00:00,2150056
06-06-2018 00:00,2402392
07-06-2018 00:00,2345600
08-06-2018 00:00,2466137
09-06-2018 00:00,2486326
10-06-2018 00:00,2053075
11-06-2018 00:00,2201245
12-06-2018 00:00,2314123
13-06-2018 00:00,2483845
14-06-2018 00:00,2966250
15-06-2018 00:00,3025670
16-06-2018 00:00,3567171
17-06-2018 00:00,2830130
18-06-2018 00:00,2096730
19-06-2018 00:00,2139798
20-06-2018 00:00,2232709
21-06-2018 00:00,2358654
22-06-2018 00:00,2406555
23-06-2018 00:00,2340207
24-06-2018 00:00,1908313
25-06-2018 00:00,1969291
26-06-2018 00:00,2062073
27-06-2018 00:00,2246617
28-06-2018 00:00,2209707
29-06-2018 00:00,2593536
30-06-2018 00:00,2345643
01-07-2018 00:00,1816812
02-07-2018 00:00,1870796
03-07-2018 00:00,2100490
04-07-2018 00:00,1752217
05-07-2018 00:00,1986862
06-07-2018 00:00,2336979
07-07-2018 00:00,2147502
08-07-2018 00:00,1787333
09-07-2018 00:00,1888234
10-07-2018 00:00,1964257
11-07-2018 00:00,2145996
12-07-2018 00:00,2188969
13-07-2018 00:00,2442074
14-07-2018 00:00,2171837
15-07-2018 00:00,1707227
16-07-2018 00:00,2018411
17-07-2018 00:00,2128080
